Rank;University;Score;Country;Flag;League
724;Xiangtan University;31.121;China;;World League
725;Dublin Institute of Technology;31.063;Ireland;;World League
726;Dunarea de Jos University of Galati;31.058;Romania;;World League
727;Kazan National Research Technological University;30.975;Russia;;World League
728;Salahaddin University;30.901;Iraq;;World League
729;National Changhua University of Education;30.831;Taiwan;;World League
730;European University at St. Petersburg;30.699;Russia;;World League
731;South Ukrainian National Pedagogical University named after K.D. Ushynsky;30.612;Ukraine;;World League
732;National Dong Hwa University;30.256;Taiwan;;World League
733;Feng Chia University;30.155;Taiwan;;World League
734;Athens University of Economics and Business;30.051;Greece;;World League
735;Alzahra University;29.992;Iran;;World League
736;Tyumen State University;29.947;Russia;;World League
737;Perm National Research Polytechnic University;29.937;Russia;;World League
738;University of Sarajevo;29.854;Bosnia And Herzegovina;;World League
739;Saint Petersburg State University of Architecture and Civil Engineering;29.828;Russia;;World League
740;University of Anbar;29.730;Iraq;;World League
741;Tamkang University;29.665;Taiwan;;World League
742;National University of Uzbekistan;29.551;Uzbekistan;;World League
743;Leeds Beckett University;29.520;UK;;World League
744;Omsk State Technical University;29.427;Russia;;World League
745;Southwest State University;29.415;Russia;;World League
746;Mordovia State University;28.983;Russia;;World League
747;``George Emil Palade`` University of Medicine, Pharmacy, Science, and Technology  of Targu Mures;28.812;Romania;;World League
748;Hunan Normal University;28.716;China;;World League
749;Ural State University of Economics;28.447;Russia;;World League
750;Ataturk University;28.297;Turkey;;World League
751;California State University, Long Beach;28.266;USA;;World League
752;Beni-Suef University;28.257;Egypt;;World League
753;Omsk State University;28.198;Russia;;World League
754;Ninevah University;28.076;Iraq;;World League
755;Reshetnev Siberian State University of Science and Technology;28.052;Russia;;World League
756;University of AL-Qadisiyah;27.818;Iraq;;World League
757;South Ural State University;27.538;Russia;;World League
758;Tver State University;27.471;Russia;;World League
759;University of South China;27.433;China;;World League
760;Wenzhou University;27.237;China;;World League
761;Democritus University of Thrace;27.207;Greece;;World League
762;Volgograd State University;27.202;Russia;;World League
763;Shanghai Maritime University;27.144;China;;World League
764;Kosygin University;26.969;Russia;;World League
765;Maikop State Technological University;26.918;Russia;;World League
766;Samara State Technical University;26.522;Russia;;World League
767;Moscow State University of Food Production;26.460;Russia;;World League
768;University of Babylon;26.219;Iraq;;World League
769;Ostrogradskiy National University of Kremenchuk;26.138;Ukraine;;World League
770;University of Mosul;26.092;Iraq;;World League
771;King Mongkut`s University of Technology North Bangkok;25.924;Thailand;;World League
772;Al-Iraqia University;25.758;Iraq;;World League
773;Polzunov Altai State Technical University;25.440;Russia;;World League
774;Azerbaijan State University of Economics (UNEC);25.027;Azerbaijan;;World League
775;Tambov State Technical University;24.888;Russia;;World League
776;Tanta University;24.826;Egypt;;World League
777;University of Information Technology and Communications;24.715;Iraq;;World League
778;I-Shou University;24.691;Taiwan;;World League
779;Chung Hua University;24.688;Taiwan;;World League
780;Kabardino-Balkarian State University;24.484;Russia;;World League
780;University of Diyala;25.207;Iraq;;World League
781;Technical University of Cluj-Napoca;24.464;Romania;;World League
782;Mahasarakham University;24.359;Thailand;;World League
783;University of Fallujah;24.289;Iraq;;World League
784;Don State Technical University;24.207;Russia;;World League
785;Southwest Petroleum University;24.179;China;;World League
786;Ubon Ratchathani University;24.161;Thailand;;World League
787;Lipetsk State Technical University;24.137;Russia;;World League
788;Azerbaijan University of Architecture and Construction;24.066;Azerbaijan;;World League
789;Middle Technical University;23.760;Iraq;;World League
790;Ufa State Petroleum Technological University (USPTU);23.755;Russia;;World League
791;Vladimir State University named after Alexander and Nikolay Stoletovs;23.739;Russia;;World League
792;Soochow University (Taiwan);23.510;Taiwan;;World League
793;European University Skopje;23.304;North Macedonia;;World League
794;Chaoyang University of Technology;23.164;Taiwan;;World League
795;Al-Ahliyya Amman University;23.042;Jordan;;World League
796;Voronezh State Technical University;22.845;Russia;;World League
797;University of Dubrovnik;22.682;Croatia;;World League
798;North Caucasus Federal University;22.598;Russia;;World League
799;Tunghai University;22.487;Taiwan;;World League
800;Kafrelsheikh University;22.480;Egypt;;World League
801;Tomsk State University of Architecture and Building;22.470;Russia;;World League
802;University of Kerbala;22.449;Iraq;;World League
803;ESIC Business and Marketing School;22.404;Spain;;World League
804;Volgograd State Technical University;22.355;Russia;;World League
805;National Chiayi University;21.782;Taiwan;;World League
806;Istanbul Gelisim University;21.670;Turkey;;World League
807;University of Thi-Qar;21.494;Iraq;;World League
808;Istanbul Medipol University;21.479;Turkey;;World League
809;Emperor Alexander I St.Petersburg State Transport University;20.328;Russia;;World League
810;Ming Chuan University;20.324;Taiwan;;World League
811;Novosibirsk State University of Economics and Management;19.885;Russia;;World League
812;Al-Mustaqbal University College;19.876;Iraq;;World League
813;Al-Kitab University;19.664;Iraq;;World League
814;Kemerovo State University;19.616;Russia;;World League
815;Al-Nisour University College;19.598;Iraq;;World League
816;NED University of Engineering and Technology;19.453;Pakistan;;World League
817;University of Petra (UOP);19.447;Jordan;;World League
818;Ulyanovsk State University;19.373;Russia;;World League
819;Poltava National Technical Yuri Kondratyuk University;18.860;Ukraine;;World League
820;Tatung University;18.844;Taiwan;;World League
821;Pacific National University;18.746;Russia;;World League
822;Islamic University in Najaf;18.556;Iraq;;World League
823;Interdisciplinary Center Herzliya (IDC Herzliya);18.473;Israel;;World League
824;Tra Vinh University;18.372;Vietnam;;World League
825;Mari State University;18.347;Russia;;World League
826;Al-Furat Al-Awsat Technical  University;18.118;Iraq;;World League
827;Togliatti State University;18.053;Russia;;World League
828;EA Buketov Karaganda State University;17.835;Kazakhstan;;World League
830;Can Tho University;17.649;Vietnam;;World League
831;Vyatka State University;17.298;Russia;;World League
832;National Formosa University;17.170;Taiwan;;World League
833;Al-Muthanna University;17.121;Iraq;;World League
834;Northern Technical University;16.739;Iraq;;World League
835;Belgorod State Technological University;16.548;Russia;;World League
836;Al-Karkh University of Science;16.289;Iraq;;World League
837;Platov South-Russian State Polytechnic University;15.567;Russia;;World League
838;Jabir Ibn Hayyan Medical University;15.361;Iraq;;World League
839;Behalf of Basrah University College of Science and Technology;15.229;Iraq;;World League
840;University of Kirkuk;15.102;Iraq;;World League
841;Arab American University (AAUP);14.688;State of Palestine;;World League
842;Savannah College of Art and Design;14.424;USA;;World League
843;University of Samarra;14.232;Iraq;;World League
844;Kozma Minin Nizhny Novgorod State Pedagogical University;13.941;Russia;;World League
845;Southern Technical University;12.485;Iraq;;World League
846;University of the Thai Chamber of Commerce;12.468;Thailand;;World League
847;Baghdad College Of Economic Sciences University;12.227;Iraq;;World League
848;Rostov State University of Economics;11.781;Russia;;World League
849;Dijlah University College;9.716;Iraq;;World League
850;University of Warith Alanbiyaa;9.706;Iraq;;World League
851;Al-Safwa University College;9.174;Iraq;;World League
851;Madenat Al-elem University College;9.174;Iraq;;World League
852;Al-Toosi University College;8.683;Iraq;;World League
853;Al-Ayen University;8.589;Iraq;;World League
854;National University for Science and Technology;8.340;Iraq;;World League
855;Imam Ja`afar Al-Sadiq University;8.331;Iraq;;World League
856;Al-Amarah University College;8.288;Iraq;;World League
857;University of Alkafeel;8.063;Iraq;;World League
858;Murmansk Arctic State University;7.888;Russia;;World League
859;University of Al-Hamdaniya;7.775;Iraq;;World League
859;Al-Zahrawi University College;7.775;Iraq;;World League
860;University of Sumer;7.132;Iraq;;World League
861;Al-Manara College of Medical Sciences;6.749;Iraq;;World League
862;Karaganda University of Kaspotrebsoyuz;6.506;Kazakhstan;;World League
863;Bilad Alrafidain University College;5.760;Iraq;;World League
864;Al-Farahidi University;4.834;Iraq;;World League
865;Al-Kut University College;4.721;Iraq;;World League
866;Al-Rasheed University College;4.568;Iraq;;World League
866;Al-Esraa University College;5.530;Iraq;;World League
867;Imam Al-Kadhum College;2.933;Iraq;;World League
